PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
292172520,22157448,27,2022-09-28T10:32:00,"Argyle Way & Fiber Way Pittsburgh, PA 15213",N,Central Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,405,3,3,-79.9530434066332,40.4396128347034
292619424,22160579,18,2022-10-03T19:43:00,"1600 Block Steuben St Pittsburgh, PA 15205",Y,Crafton Heights,6,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 4703 Operation of Vehicle without Official Certif. of Inspection / 1332 Display of Registration Plate. / 3323 Stop Signs and Yield Signs. / 1501 Drivers Required to be Licensed.,2815,2,5,-80.0553368960626,40.4441600677875
292619728,22160607,3,2022-10-03T20:55:00,"700 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,ROBBERY,3701 Robbery. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1803,3,5,-79.9954887053187,40.4215189803883
292624604,22160644,14,2022-10-04T00:04:00,"100 Block Market Trfy Pittsburgh, PA 15222",N,Central Business District,2,CRIM MISCHIEF,3304 Criminal Mischief. / 2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent / 901 Criminal Attempt,201,6,6,-80.0037749324459,40.4386136512912
292624611,22159932,4,2022-10-02T17:19:00,"3400 Block Fleming Ave Pittsburgh, PA 15212",Y,Brighton Heights,1,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2701 Simple Assault. / 3304 Criminal Mischief.,2703,1,1,-80.038226953709,40.4769999999468
292625127,22160704,0,2022-10-04T00:33:00,"3400 Block Gass Ave Pittsburgh, PA 15212",N,Brighton Heights,1,99,9994 PFA Service,2703,1,1,-80.0346721574571,40.4770743333993
292625457,22160701,6,2022-10-04T00:24:00,"500 Block Morgan St Pittsburgh, PA 15219",N,Middle Hill,2,THEFT FROM AUTO,3934 Theft from Vehicle,501,,,,
292650772,22160768,10,2022-09-30T08:00:00,"Mountain Ave & Fisher St Pittsburgh, PA 15210",N,St. Clair,3,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,1606,3,3,-79.9772436130596,40.4115212977288
292667634,22160864,6,2022-10-04T08:00:00,"100 Block Madeline St Pittsburgh, PA 15210",N,Carrick,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2902,4,3,-79.9852220254286,40.3941806389238
292693060,22160960,6,2022-10-04T15:00:00,"200 Block Shaler St Pittsburgh, PA 15211",N,Duquesne Heights,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1911,2,5,-80.0238746895312,40.4397196173245
292711910,22161001,29,2022-10-04T15:37:00,"2300 Block Fremont Pl Pittsburgh, PA 15216",N,Beechview,6,RUNAWAYS - JUVENILE,029 Missing Juvenile,1920,4,5,-80.0309766303975,40.4023239972252
292493573,22159748,0,2022-10-02T09:45:00,"5500 Block Covode St Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1413,5,3,-79.9302855336999,40.4313085867903
292495013,22159743,10,2022-10-02T11:00:00,"100 Block N Euclid Ave Pittsburgh, PA 15206",Y,Arlington,5,SIMPLE ASSAULT,2701 Simple Assault.,1603,9,2,-79.9278017823186,40.4625405440263
292495451,22159804,14,2022-09-30T12:00:00,"60 Block S 12th St Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1702,,,-79.9023848662458,40.405663187868
292503342,22159923,6,2022-10-02T17:05:00,"600 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud,201,6,6,-80.0016237646793,40.4417809547139
292504183,22159919,5,2022-10-02T16:52:00,"500 Block Grandview Ave Pittsburgh, PA 15211",N,Duquesne Heights,3,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1911,2,5,-80.011910401322,40.4349092174935
292505366,22159952,14,2022-10-02T16:30:00,"3400 Block Melwood Ave Pittsburgh, PA 15219",N,Polish Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,605,7,6,-79.9623667588524,40.4586657853015
292505911,22159905,27,2022-10-02T16:32:00,"2100 Block Plainview Ave Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,1917,4,5,-80.0201069668794,40.4015920789886
292527010,22155074,10,2022-09-24T01:50:00,"600 Block First Ave Pittsburgh, PA 15219",Y,Central Business District,2,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",201,6,6,-79.9960409452176,40.4350395659105
292527651,22160090,99,2022-10-02T23:51:00,"100 Block Kathleen St Pittsburgh, PA 15211",N,Mount Washington,3,AIDED CASE,9497 Aided Case,1807,3,5,-80.0043452707438,40.4253645677376
292541901,22160180,6,2022-10-02T12:05:00,"2200 Block Roswell Dr Pittsburgh, PA 15205",N,Fairywood,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2808,2,5,-80.0812136889506,40.4435636834398
293774607,22168653,14,2022-10-15T17:20:00,"100 Block 27 th St Pittsburgh, PA 15222",N,Strip District,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,203,,,,
293887407,22168723,6,2022-10-17T11:00:00,"500 Block Celeron St Pittsburgh, PA 15221",N,Point Breeze,4,THEFT FROM AUTO,3934 Theft from Vehicle,1406,9,3,-79.895115461131,40.4413396682233
-3556042586,22169109,6,2022-10-19T05:00:00,"2000 Block PLAINVIEW Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1917,4,5,-80.0169320907125,40.4030010372904
293910180,22169179,27,2022-10-19T10:45:00,"Boulevard of the allies & Liberty Brg Ramp Pittsburgh, PA 15222",Y,Chartiers City,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2021,,,,
292516972,22159827,4,2022-10-02T13:39:00,"Wood St & Oliver Ave Pittsburgh, PA 15222",Y,Central Business District,2,AGG-ASSAULT,2702 Aggravated Assault. / 3921 Theft by Unlawful Taking or Disposition. / 5104 Resisting Arrest or Other Law Enforcement. / 4106 Access Device Fraud / 5503 Disorderly Conduct.,201,6,6,-79.9999192980735,40.4414562251056
292521175,22160024,99,2022-10-02T20:38:00,"500 Block Mellon St Pittsburgh, PA 15206",N,East Liberty,5,MENTAL 201/302,9498 302 (Mental),1113,9,2,-79.9268051570833,40.4676858393577
292536685,22160156,0,2022-10-03T03:00:00,"7200 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,99,9999 (Misc. Crime): Poss Nuisance Bar Activity (No Complainant),1303,9,2,-79.8969956274934,40.4555186499156
292539176,22160175,29,2022-10-03T05:00:00,"2300 Block Fremont Pl Pittsburgh, PA 15216",N,Beechview,6,RUNAWAYS - JUVENILE,029 Missing Juvenile,1920,4,5,-80.0309766303975,40.4023239972252
292613485,22160548,10,2022-09-27T16:00:00,"5800 Block Burchfield Ave Pittsburgh, PA 15217",Y,Squirrel Hill South,4,HARRASSMENT,2709(a) Harassment.,1414,,,,
294152407,22170695,0,2022-10-22T02:07:00,"400 Block N Graham St Pittsburgh, PA 15206",N,Garfield,5,99,9994 PFA Service,1114,7,2,-79.9370554394836,40.4593249119549
294152454,22170705,0,2022-10-22T02:25:00,"7200 Block Idlewild St Pittsburgh, PA 15208",N,Homewood North,5,99,9993 PFA Service with Weapons Supplement,1302,9,2,-79.8959682707676,40.4581654165085
294152481,22170689,4,2022-10-22T01:41:00,"2900 Block Brighton Rd Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,AGG-ASSAULT,2702 Aggravated Assault. / 2701 Simple Assault. / 8106 Shots Fired,2715,1,1,-80.0270291384734,40.471795139598
294168849,22170756,10,2022-10-22T06:43:00,"3100 Block Cordell Pl Pittsburgh, PA 15203",Y,Arlington Heights,3,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,1604,3,3,-79.963452973864,40.4177171713237
291765815,22154463,14,2022-09-23T01:45:00,"Garrison Pl & French St Pittsburgh, PA 15222",N,Central Business District,2,CRIM MISCHIEF,3304 Criminal Mischief.,201,6,6,-79.9976359225423,40.4445197628983
291822238,22154891,99,2022-09-23T20:30:00,"10 Block Stewart Ave Pittsburgh, PA 15227",N,Carrick,3,MENTAL 201/302,9498 302 (Mental),2904,4,3,-79.9818253880282,40.3824735678695
292815658,22161699,5,2022-10-05T18:44:00,"300 Block Bausman St Pittsburgh, PA 15210",N,Knoxville,3,BURGLARY,3502 Burglary.,3001,3,5,-79.9931109214736,40.4141356086569
292833832,22161825,0,2022-10-06T01:08:00,"700 Block Bucyrus St Pittsburgh, PA 15220",N,Elliott,6,99,8106 Shots Fired,2020,2,5,-80.0398911870935,40.445661631782
292860875,22160935,6,2022-10-04T14:00:00,"2100 Block Saw Mill Run Blvd Pittsburgh, PA 15210",N,Overbrook,3,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.,3204,4,5,-79.997259785236,40.391328443452
-3582010612,22161962,99,2022-10-06T11:00:00,"1000 Block Sheffield St Pittsburgh, PA 15233",Y,Manchester,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2107,,,,
292908485,22162289,2,2022-10-06T16:30:00,Zone 5,N,,5,RAPE,3121 Rape.,,,,,
294187500,22170939,0,2022-10-22T12:00:00,"700 Block Devonshire St Pittsburgh, PA 15213",N,Shadyside,4,99,425.26 Miscellaneous,709,8,2,-79.9450497099435,40.4500412712648
294191746,22171008,10,2022-10-22T16:37:00,"1400 Block Superior Ave Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,SIMPLE ASSAULT,2701 Simple Assault.,2715,1,1,-80.0311058234806,40.4676457284881
294192787,22171027,99,2022-10-22T17:17:00,"5400 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1515,5,3,-79.9419544748119,40.4025863966787
294194614,22171116,0,2022-10-22T20:15:00,"Liberty Brg Pittsburgh, PA 15219",N,Middle Hill,2,99,9999 9999 - (Misc. Incident): ,501,,,,
292715330,22161027,27,2022-10-04T16:33:00,"Western Ave & Manhattan St Pittsburgh, PA 15233",N,Manchester,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2107,6,1,-80.0251294902359,40.4504003184559
292718931,22160894,6,2022-09-25T09:00:00,"1400 Block Rush St Pittsburgh, PA 15233",N,Manchester,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2107,6,1,-80.0271177956532,40.4563372846737
292764617,22161356,99,2022-09-30T11:17:00,"1100 Block Chislett St Pittsburgh, PA 15206",N,Morningside,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1014,7,2,-79.9294905782466,40.4770645509074
292779241,22161441,99,2022-10-05T11:07:00,"600 Block Elm Spring Ct Pittsburgh, PA 15216",N,Banksville,6,MENTAL 201/302,9498 302 (Mental),2023,2,5,-80.038354484954,40.4168931154768
292793968,22160898,6,2022-10-04T12:30:00,"300 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2304,1,1,-80.0009078039902,40.4508935599436
292798643,22161559,3,2022-10-05T15:16:00,"100 Block 7th St Pittsburgh, PA 15222",Y,Central Business District,2,ROBBERY,3701 Robbery. / 5104 Resisting Arrest or Other Law Enforcement.,201,6,6,-80.000996797488,40.4441447479242
292805785,22161607,99,2022-10-05T16:05:00,"Mc Bride Park Pittsburgh, PA 15207",N,Lincoln Place,4,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,3102,,,,
292569398,22160257,14,2022-10-01T04:15:00,"100 Block 15th St Pittsburgh, PA 15222",N,Strip District,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,203,3,3,-79.9834736255513,40.4279527652261
292570001,22160282,6,2022-09-26T09:00:00,"2400 Block Chauncey Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,509,6,3,-79.9746251357847,40.4498408057687
292572638,22159974,27,2022-10-02T18:38:00,"6200 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1115,9,2,-79.9220514004315,40.4616553224018
292600388,22160401,0,2022-10-03T14:01:00,"2000 Block Walton Ave Pittsburgh, PA 15210",N,Overbrook,3,99,9994 PFA Service,3204,4,5,-79.9944846494585,40.3931971622161
292606225,22160426,10,2022-10-03T13:36:00,"2500 Block Jonquil Way Pittsburgh, PA 15210",Y,Arlington,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1603,3,3,-79.9739989475988,40.4151485070644
292606507,22160429,14,2022-10-03T12:00:00,"400 Block Morewood Ave Pittsburgh, PA 15213",N,Shadyside,4,CRIM MISCHIEF,3304 Criminal Mischief.,709,8,2,-79.9440876798619,40.4529080769474
292607284,22160457,27,2022-10-03T15:35:00,"Hampshire Ave & Fallowfield Ave Pittsburgh, PA 15216",N,Beechview,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1916,4,5,-80.0237297017485,40.4106087175959
294040741,22169635,99,2022-10-16T19:00:00,"100 Block Art Rooney Ave Pittsburgh, PA 15212",N,North Shore,1,LOST PROPERTY,9504 Lost Property,2205,1,6,-80.0157793215862,40.4467840308319
294105224,22170128,23,2022-10-21T04:52:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,East Allegheny,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503 Disorderly Conduct. / 3503(b)(1)(i) Actual Communication,201,6,6,-79.9960409452176,40.4350395659105
294126407,22170342,0,2022-10-21T12:30:00,"100 Block Hazlett St Pittsburgh, PA 15214",N,Northview Heights,1,99,9994 PFA Service,2609,1,1,-80.0016475315907,40.4771220938326
294140175,22169986,0,2022-10-20T20:34:00,"5500 Block Dellaglen Ave Pittsburgh, PA 15207",N,Lincoln Place,4,99,9999 9999 - (Misc. Incident): ,3102,5,3,-79.9209782756941,40.3684444462691
294169977,22170784,6,2022-10-22T01:00:00,"100 Block 23rd St Pittsburgh, PA 15222",N,Strip District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,203,3,3,-79.9730539189312,40.4283014442892
291688373,22153887,5,2022-09-22T06:00:00,"200 Block Institute St Pittsburgh, PA 15210",N,Bon Air,3,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1806,,,,
291751271,22154122,6,2022-09-22T11:00:00,"5500 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,709,8,2,-79.9364516460773,40.4565706706801
291756030,22154243,99,2022-09-22T17:40:00,"500 Block Lockhart St Pittsburgh, PA 15212",Y,East Allegheny,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2304,1,1,-80.0000652127863,40.4525584766784
291757237,22154198,6,2022-09-22T16:47:00,"7600 Block Penn Ave Pittsburgh, PA 15221",N,Point Breeze North,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1405,9,3,-79.8951355743265,40.4471228791488
292625818,22160711,99,2022-10-04T02:40:00,"1400 Block River Ave Pittsburgh, PA 15212",N,Troy Hill,1,FOUND PROPERTY,9489 Found Property,2406,1,1,-79.9810090719018,40.4620961603266
292634210,22160713,10,2022-10-04T02:39:00,"2500 Block Churchview Ave Pittsburgh, PA 15227",Y,Carrick,3,SIMPLE ASSAULT,2705 Recklessly Endangering Another Person. / 2701 Simple Assault.,2904,4,3,-79.9790070775942,40.3859177764681
292692237,22160946,17,2022-10-04T14:00:00,Zone 4,N,,4,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
294185172,22170936,6,2022-10-19T13:00:00,"4100 Block Haldane St Pittsburgh, PA 15207",N,Greenfield,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1516,5,3,-79.9428911020017,40.4236654167459
294183339,22170853,13,2022-10-22T10:58:00,"800 Block N Lang Ave Pittsburgh, PA 15208",Y,Homewood South,5,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property.,1303,9,2,-79.898875843267,40.4570028651236
294190751,22171010,27,2022-10-20T16:35:00,"Bates St & Mc Kee Pl Pittsburgh, PA 15213",N,Central Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,405,3,3,-79.9555007886063,40.436594269773
292951523,22162548,14,2022-10-07T10:40:00,"600 Block Brownsville Rd Pittsburgh, PA 15210",N,Knoxville,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,3001,,,,
-3542078643,22162549,27,2022-10-07T09:30:00,"1800 Block Brett St Pittsburgh, PA 15205",N,Westwood,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2811,,,,
292970746,22162630,99,2022-10-07T13:15:00,"1200 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 901 Criminal Attempt / 627.02(b)(i) Possessing a small amount of marijuana,1702,3,3,-79.9862131966527,40.4285828598749
292972919,22162664,10,2022-10-07T14:30:00,"1700 Block Leolyn St Pittsburgh, PA 15210",Y,Carrick,3,SIMPLE ASSAULT,2701 Simple Assault. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2902,4,3,-79.9861410427679,40.3989515688332
292977568,22162781,99,2022-10-07T17:49:00,"40 Block Ruth St Pittsburgh, PA 15211",N,Mount Washington,3,FOUND PROPERTY,9489 Found Property,1915,2,5,-80.0053398829708,40.425699375348
292977950,22162788,10,2022-10-07T18:02:00,"300 Block S Evaline St Pittsburgh, PA 15224",N,Bloomfield,5,HARRASSMENT,2709(a) Harassment.,806,,,,
292978511,22162841,99,2022-10-07T19:30:00,"200 Block Fordyce St Pittsburgh, PA 15210",Y,Bon Air,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 9994 PFA Service,1806,4,5,-80.0005678878879,40.4097236839165
292984427,22162958,0,2022-10-07T23:15:00,"900 Block N Negley Ave Pittsburgh, PA 15206",Y,Highland Park,5,99,9999 9999 - (Misc. Incident): ,1102,8,2,-79.9306292356949,40.4509104294573
292874491,22161960,0,2022-10-06T09:12:00,"300 Block North Shore Dr Pittsburgh, PA 15212",N,North Shore,1,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,2205,1,1,-80.0096363483307,40.4549103553127
292879045,22162064,6,2022-10-06T12:00:00,"2400 Block Charcot St Pittsburgh, PA 15210",N,Arlington,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1603,3,3,-79.9729514898744,40.4169837383896
292890888,22162089,10,2022-10-06T13:35:00,"100 Block Kirk Ave Pittsburgh, PA 15210",N,Carrick,3,HARRASSMENT,2709 Harassment (Non-Specific),2904,,,,
292906385,22162274,6,2022-10-03T18:00:00,"900 Block Dunster St Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1917,4,5,-80.0046122019224,40.4024874128989
292920562,22162346,0,2022-10-06T23:22:00,"200 Block East Ohio St Pittsburgh, PA 15212",N,Allegheny Center,1,99,8106 Shots Fired,2204,,,,
292923256,22162377,0,2022-10-07T00:32:00,"Chestnut St & Phineas St Pittsburgh, PA 15212",N,East Allegheny,1,99,9999 9999 - (Misc. Incident): ,2304,1,1,-79.9946720821351,40.4554126122343
292933606,22162472,0,2022-10-06T12:00:00,"4800 Block Dearborn St Pittsburgh, PA 15224",N,Garfield,5,99,9994 PFA Service,1017,9,2,-79.9462467860253,40.4662151464
292961039,22162552,6,2022-10-07T11:00:00,"1000 Block Saw Mill Run Blvd Pittsburgh, PA 15226",N,Bon Air,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1806,2,5,-80.0200329974939,40.4249714432045
292969319,22162643,0,2022-10-07T13:40:00,"General Robinson St E & Anderson St Pittsburgh, PA 15212",Y,North Shore,1,99,9998 Overdose Other,2205,1,6,-80.0007443622577,40.4489501609576
292618911,22160460,18,2022-10-03T15:46:00,"2300 Block Gershon St Pittsburgh, PA 15214",Y,Spring Hill-City View,1,STOLEN PROPERTY - OTHER,"13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 6105(c)(9) Persons Not To Possess Use Manuf, Control Firearm",2620,,,,
292619767,22160620,18,2022-10-03T21:34:00,"Steuben St & Whitewood Dr Pittsburgh, PA 15220",Y,Crafton Heights,6,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3112 Traffic-Control Signals.,2814,2,5,-80.0496283259138,40.4420765161309
292690962,22160944,6,2022-09-30T21:30:00,"100 Block Art Rooney Ave Pittsburgh, PA 15212",N,North Shore,1,THEFT FROM AUTO,3934 Theft from Vehicle / 4106 Access Device Fraud,2205,1,6,-80.0157793215862,40.4467840308319
292717813,22160957,10,2022-10-04T14:40:00,"6400 Block Station St Pittsburgh, PA 15206",Y,East Liberty,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1115,9,2,-79.9187492267927,40.4610531897644
292724629,22161128,3,2022-10-04T12:20:00,"6800 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood West,5,ROBBERY,"3701 Robbery. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",1207,9,2,-79.9059851373518,40.4581223295946
292735317,22161207,3,2022-10-04T22:39:00,"5900 Block Alder St Pittsburgh, PA 15232",N,Shadyside,4,ROBBERY OF MOTOR VEHICLE,3702 Robbery of Motor Vehicle.,705,8,2,-79.928788317662,40.4563562891472
292738217,22161177,10,2022-10-04T21:35:00,"2100 Block Koerner Ave Pittsburgh, PA 15214",Y,Perry South,1,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 4304(a)(1) Endangering Welfare of Children. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2614,6,1,-80.0105823622413,40.4644724553885
292740517,22161298,15,2022-10-05T03:05:00,"Hargrove St & West Liberty Ave Pittsburgh, PA 15226",Y,Brookline,3,FIREARMS NOT TO BE CARRIED WO LICENSE,6106 Firearms not to be Carried without a License. / 1501 Drivers Required to be Licensed.,1917,4,5,-80.010123220753,40.4129200909288
292699590,22160962,14,2022-10-04T13:30:00,"7700 Block Waverly St Pittsburgh, PA 15221",N,Point Breeze,4,CRIMINAL MISCHIEF,"3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5533(a) Cruelty to animals - Intentionally, knowingly or recklessly illtreats, overloads, beats, abandons or abuses an animal / 3503(a) Criminal Trespass",1406,9,3,-79.8949275662855,40.4442306060923
292710541,22160769,27,2022-10-04T07:58:00,"Browns Hill Rd & Imogene Rd Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1414,5,3,-79.9249117426275,40.4154565534707
-3293033666,22161598,26,2022-10-05T15:00:00,"300 Block Virginia Ave Pittsburgh, PA 15211",Y,Mount Washington,3,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,1903,2,5,-80.0105553172304,40.4311154236645
292811054,22161648,29,2022-10-05T17:50:00,"1400 Block Rockland Ave Pittsburgh, PA 15216",N,Beechview,6,RUNAWAYS - JUVENILE,029 Missing Juvenile,1916,4,5,-80.0203864894071,40.4129931632341
292819199,22161743,99,2022-10-05T22:00:00,"100 Block Kathleen St Pittsburgh, PA 15211",Y,Mount Washington,3,MENTAL 201/302,9498 302 (Mental),1807,3,5,-80.0043452707438,40.4253645677376
292821897,22161728,23,2022-10-05T20:23:00,"400 Block North Shore Dr Pittsburgh, PA 15212",Y,Allegheny Center,1,PUBLIC DRUNKENESS,5505 Public Drunkenness / 3213 Prohibited Acts. / 3503(b)(1)(i) Actual Communication,2204,1,6,-80.0123399020422,40.4462710224948
292829382,22161783,0,2022-10-05T23:26:00,"400 Block Sweetbriar St Pittsburgh, PA 15211",N,Duquesne Heights,3,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),1911,2,5,-80.0225204716674,40.4357573476021
291732425,22153985,10,2022-09-22T10:17:00,"2300 Block Webster Ave Pittsburgh, PA 15219",Y,Middle Hill,2,RECKLESSLY ENDANGER ANOTH PER,"2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2705 Recklessly Endangering Another Person. / 2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 4304(a)(1) Endangering Welfare of Children.",103,6,3,-79.9754869961067,40.4483634111479
291814260,22154768,27,2022-09-23T15:10:00,"400 Block E Warrington Ave Pittsburgh, PA 15210",N,Beltzhoover,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1809,3,5,-80.0000780646194,40.4207390896467
293028196,22163476,99,2022-10-08T20:50:00,"100 Block Knox Ave Pittsburgh, PA 15210",Y,Knoxville,3,MENTAL 201/302,9498 302 (Mental),3001,3,5,-79.9905877515385,40.4155725063979
293036028,22163543,10,2022-10-08T23:23:00,"100 Block S 18th St Pittsburgh, PA 15203",Y,South Side Flats,3,SIMPLE ASSAULT,2701 Simple Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1702,3,3,-79.9808361201944,40.4281392487418
293043530,22163693,6,2022-10-09T00:45:00,"23rd St Pittsburgh, PA 15222",N,Strip District,2,THEFT FROM AUTO,3934 Theft from Vehicle / 4106 Access Device Fraud,203,7,6,-79.9835924363228,40.4545679251851
293045765,22163726,99,2022-10-09T10:27:00,"Brookline Blvd & Chelton Ave Pittsburgh, PA 15226",N,Brookline,6,AIDED CASE,9497 Aided Case,1918,4,5,-80.0170550878653,40.3915685880316
293047142,22163766,0,2022-10-09T12:25:00,"300 Block N Braddock Ave Pittsburgh, PA 15208",Y,Point Breeze North,4,99,9998 Overdose Other,1405,9,2,-79.8928013971768,40.4496546331193
293058268,22163911,27,2022-10-09T12:00:00,"100 Block 44th St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,901,7,2,-79.9628171904393,40.4734891995484
293060793,22163900,99,2022-10-09T18:03:00,"600 Block 1st Ave Pittsburgh, PA 15219",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,6,6,-79.9960409452176,40.4350395659105
